Sel_Coeff	Mut_freq	Generation_Mean	Generation_sd	Population_size	Dominance
-0.05	0.05	180.22	49.3701339406051	10500	0.5
-0.05	0.1	210.84	52.9433839564672	10500	0.5
-0.05	0.4	280.215	49.8055242982801	10500	0.5
-0.05	0.7	332.08	51.0837299800208	10500	0.5
-0.1	0.05	103.87	25.5949380177082	10500	0.5
-0.1	0.1	119.4425	26.6340030608923	10500	0.5
-0.1	0.4	150.75	24.8724566085532	10500	0.5
-0.1	0.7	178.2725	26.4395701728927	10500	0.5
-0.2	0.05	57.065	12.2636359582831	10500	0.5
-0.2	0.1	64.03	12.7335957668242	10500	0.5
-0.2	0.4	80.0725	12.1259986540654	10500	0.5
-0.2	0.7	92.47	13.0372168255495	10500	0.5
-0.3	0.05	39.2075	7.34604346819371	10500	0.5
-0.3	0.1	44.4575	7.45467129122072	10500	0.5
-0.3	0.4	54.6225	7.88386847971944	10500	0.5
-0.3	0.7	62.225	8.56871824316957	10500	0.5
-0.4	0.05	30.1025	5.80441399320476	10500	0.5
-0.4	0.1	34.01	5.97403739585028	10500	0.5
-0.4	0.4	41.3075	5.42877728471316	10500	0.5
-0.4	0.7	45.445	5.41250524550152	10500	0.5
0	0.05	1220.24637681159	421.545069268676	10500	0.5
0	0.1	1418.06976744186	308.225674539261	10500	0.5
