Sel_Coeff Mut_freq Generation_Mean Generation_sd Population_size Dominance
-0.05 0.05 234 49.0448262429689 42000 0.5
-0.1 0.05 129 25.2860297794061 42000 0.5
-0.2 0.05 70 11.2404654667756 42000 0.5
-0.3 0.05 49 8.26086244716176 42000 0.5
-0.4 0.05 36 5.92545536674255 42000 0.5
-0.05 0.1 262 48.8789071344342 42000 0.5
-0.1 0.1 143 25.8876379667738 42000 0.5
-0.2 0.1 76 11.142897026148 42000 0.5
-0.3 0.1 52 7.37753439737567 42000 0.5
-0.4 0.1 39 5.27964597810642 42000 0.5
-0.05 0.4 340 51.1114291447917 42000 0.5
-0.1 0.4 176 23.1792512383365 42000 0.5
-0.2 0.4 94 11.548652396728 42000 0.5
-0.3 0.4 63 7.79145473690846 42000 0.5
-0.4 0.4 47 5.3771533542841 42000 0.5
-0.05 0.7 387 55.6483192228735 42000 0.5
-0.1 0.7 204 25.4625351347567 42000 0.5
-0.2 0.7 105 12.141850614336 42000 0.5
-0.3 0.7 71 7.84793445359796 42000 0.5
-0.4 0.7 52 5.82795097193931 42000 0.5
