Sel_Coeff	Mut_freq	Generation_Mean	Generation_sd	Population_size	Dominance
-0.05	0.05	361.605	103.607239734071	21000	0.25
-0.05	0.1	404.46	106.238033204913	21000	0.25
-0.05	0.4	508.7	88.4381890543221	21000	0.25
-0.05	0.7	557.035	105.763834777617	21000	0.25
-0.1	0.05	207.91	52.4916214820474	21000	0.25
-0.1	0.1	226.67	47.2467643532828	21000	0.25
-0.1	0.4	282.1325	52.4016199002514	21000	0.25
-0.1	0.7	303.6275	50.4337451551631	21000	0.25
-0.2	0.05	116.4	26.0908380389349	21000	0.25
-0.2	0.1	127.4025	24.5487698061938	21000	0.25
-0.2	0.4	151.5825	26.6822609870012	21000	0.25
-0.2	0.7	162.1575	26.2230206264828	21000	0.25
-0.3	0.05	81.37	18.5378593849571	21000	0.25
-0.3	0.1	89.7225	17.6062615243031	21000	0.25
-0.3	0.4	102.9175	15.8910984918663	21000	0.25
-0.3	0.7	109.425	16.1888719166851	21000	0.25
-0.4	0.05	61.6175	11.333459843758	21000	0.25
-0.4	0.1	69.765	13.7702150330029	21000	0.25
-0.4	0.4	79.6325	11.9345518377911	21000	0.25
-0.4	0.7	84.14	11.7588722968759	21000	0.25
0	0.05	1407.63829787234	379.310841070436	21000	0.25
0	0.1	1663	300.249895920049	21000	0.25
