Sel_Coeff	Mut_freq	Generation_Mean	Generation_sd	Population_size	Dominance
-0.05	0.05	309.6525	97.7393943954636	10500	0.25
-0.05	0.1	355.72	102.822335519595	10500	0.25
-0.05	0.4	452.535	106.131987505793	10500	0.25
-0.05	0.7	500.1	102.516164139	10500	0.25
-0.1	0.05	177.53	51.0929086398808	10500	0.25
-0.1	0.1	206.305	53.0710213607264	10500	0.25
-0.1	0.4	256.37	53.1966428171698	10500	0.25
-0.1	0.7	275.74	47.7040521494631	10500	0.25
-0.2	0.05	100.3675	23.6535657286422	10500	0.25
-0.2	0.1	115.405	27.18010061928	10500	0.25
-0.2	0.4	137.6625	24.7772754190807	10500	0.25
-0.2	0.7	146.5	23.8821248996883	10500	0.25
-0.3	0.05	71.245	14.5676186724001	10500	0.25
-0.3	0.1	80.31	16.3766414739077	10500	0.25
-0.3	0.4	97.84	17.9581635780985	10500	0.25
-0.3	0.7	102.79	16.5008057827094	10500	0.25
-0.4	0.05	56.39	12.3525042360752	10500	0.25
-0.4	0.1	62.3675	13.0950810083994	10500	0.25
-0.4	0.4	73.7625	13.2146760424639	10500	0.25
-0.4	0.7	77.825	12.120505006146	10500	0.25
0	0.05	1267.0472972973	424.77982026802	10500	0.25
0	0.1	1440.88	342.63734859624	10500	0.25
