Sel_Coeff	Mut_freq	Generation_Mean	Generation_sd	Population_size	Dominance
-0.05	0.05	234.0775	49.0448262429689	42000	0.5
-0.05	0.1	261.5175	48.8789071344342	42000	0.5
-0.05	0.4	339.9275	51.1114291447917	42000	0.5
-0.05	0.7	387.0625	55.6483192228735	42000	0.5
-0.1	0.05	129.4875	25.2860297794061	42000	0.5
-0.1	0.1	143.325	25.8876379667738	42000	0.5
-0.1	0.4	176.4775	23.1792512383365	42000	0.5
-0.1	0.7	203.6875	25.4625351347567	42000	0.5
-0.2	0.05	69.8575	11.2404654667756	42000	0.5
-0.2	0.1	76.3725	11.142897026148	42000	0.5
-0.2	0.4	94.3075	11.548652396728	42000	0.5
-0.2	0.7	105.095	12.141850614336	42000	0.5
-0.3	0.05	48.8725	8.26086244716176	42000	0.5
-0.3	0.1	52.2925	7.37753439737567	42000	0.5
-0.3	0.4	63.3	7.79145473690846	42000	0.5
-0.3	0.7	71.17	7.84793445359796	42000	0.5
-0.4	0.05	36.3525	5.92545536674255	42000	0.5
-0.4	0.1	39.255	5.27964597810642	42000	0.5
-0.4	0.4	46.9225	5.3771533542841	42000	0.5
-0.4	0.7	51.93	5.82795097193931	42000	0.5
0	0.05	1639.66666666667	116.778993544787	42000	0.5
