Sel_Coeff	Mut_freq	Generation_Mean	Generation_sd	Population_size	Dominance
-0.05	0.05	209.865	51.420930127117	21000	0.5
-0.05	0.1	235.49	47.9090083669738	21000	0.5
-0.05	0.4	307.27	51.4011897310209	21000	0.5
-0.05	0.7	361.675	52.0768602493812	21000	0.5
-0.1	0.05	117.86	27.3041974427923	21000	0.5
-0.1	0.1	129.5325	21.7982074577459	21000	0.5
-0.1	0.4	164.4425	21.7441650917861	21000	0.5
-0.1	0.7	188.4025	22.1701213223704	21000	0.5
-0.2	0.05	64.485	12.5590245538561	21000	0.5
-0.2	0.1	69.0575	11.1125115763195	21000	0.5
-0.2	0.4	87.2225	12.6941264317267	21000	0.5
-0.2	0.7	98.5425	12.7553888066582	21000	0.5
-0.3	0.05	43.9325	7.61794108114453	21000	0.5
-0.3	0.1	48.27	7.74901400470491	21000	0.5
-0.3	0.4	58.53	7.99681014099233	21000	0.5
-0.3	0.7	65.745	7.48800042574383	21000	0.5
-0.4	0.05	33.7275	5.64827418360094	21000	0.5
-0.4	0.1	36.8825	5.77034973725385	21000	0.5
-0.4	0.4	43.8875	5.59402149094037	21000	0.5
-0.4	0.7	49.34	5.89204467703619	21000	0.5
0	0.05	1489.53333333333	358.921401879677	21000	0.5
0	0.1	1597.42857142857	287.976189491919	21000	0.5
